id,number,html_url,agent,additions,deletions,changed_files,changed_loc
3116225832,16053,https://github.com/mlflow/mlflow/pull/16053,Copilot,44.0,10.0,4.0,54.0
3153698253,347,https://github.com/microsoft/fabric-cicd/pull/347,Copilot,332.0,1.0,2.0,333.0
3077668165,59,https://github.com/microsoft/magentic-ui/pull/59,Copilot,14.0,13.0,7.0,27.0
3077768704,62,https://github.com/microsoft/magentic-ui/pull/62,Copilot,1.0,1.0,1.0,2.0
3077823693,56,https://github.com/microsoft/mcp-for-beginners/pull/56,Copilot,41.0,61.0,10.0,102.0
3165063018,16369,https://github.com/mlflow/mlflow/pull/16369,Copilot,36.0,34.0,2.0,70.0
3255020828,30,https://github.com/pamelafox/python-openai-demos/pull/30,Copilot,118.0,119.0,56.0,237.0
3271948323,278,https://github.com/Ljzd-PRO/KToolBox/pull/278,Copilot,252.0,3.0,3.0,255.0
3076401687,583,https://github.com/Azure/azure-kusto-python/pull/583,Copilot,150.0,38.0,3.0,188.0
3076670977,4551,https://github.com/microsoft/AzureTRE/pull/4551,Copilot,43.0,7.0,8.0,50.0
3076722865,4552,https://github.com/microsoft/AzureTRE/pull/4552,Copilot,11442.0,1144.0,5.0,12586.0
3181479231,16472,https://github.com/mlflow/mlflow/pull/16472,Copilot,14.0,13.0,12.0,27.0
3185225851,2861,https://github.com/microsoft/torchgeo/pull/2861,Copilot,19.0,19.0,8.0,38.0
3135109406,16191,https://github.com/mlflow/mlflow/pull/16191,Copilot,4.0,5.0,4.0,9.0
3150510293,544,https://github.com/a16z/halmos/pull/544,Copilot,108.0,47.0,4.0,155.0
3216426710,279,https://github.com/python-cachier/cachier/pull/279,Copilot,132.0,2.0,2.0,134.0
3090023166,15877,https://github.com/mlflow/mlflow/pull/15877,Copilot,1.0,1.0,1.0,2.0
3096080665,15926,https://github.com/mlflow/mlflow/pull/15926,Copilot,4.0,0.0,2.0,4.0
3225468380,585,https://github.com/jeroenterheerdt/HAsmartirrigation/pull/585,Copilot,128.0,101.0,7.0,229.0
3192728541,644,https://github.com/zfit/zfit/pull/644,Copilot,1300.0,222.0,53.0,1522.0
3229043367,593,https://github.com/jeroenterheerdt/HAsmartirrigation/pull/593,Copilot,730.0,71.0,14.0,801.0
3138995292,16221,https://github.com/mlflow/mlflow/pull/16221,Copilot,6.0,6.0,6.0,12.0
3236369998,42047,https://github.com/Azure/azure-sdk-for-python/pull/42047,Copilot,79.0,3.0,5.0,82.0
3193514773,2431,https://github.com/microsoft/onnxscript/pull/2431,Copilot,16.0,15.0,1.0,31.0
3160615563,7055,https://github.com/onnx/onnx/pull/7055,Copilot,78.0,8.0,8.0,86.0
3255564010,1975,https://github.com/docling-project/docling/pull/1975,Copilot,7.0,1.0,1.0,8.0
3120603357,16093,https://github.com/mlflow/mlflow/pull/16093,Copilot,1.0,0.0,1.0,1.0
3187683940,3901,https://github.com/microsoft/lisa/pull/3901,Copilot,22.0,28.0,1.0,50.0
3076981888,4554,https://github.com/microsoft/AzureTRE/pull/4554,Copilot,15.0,9.0,4.0,24.0
3245783375,620,https://github.com/jeroenterheerdt/HAsmartirrigation/pull/620,Copilot,201.0,0.0,2.0,201.0
3161413967,551,https://github.com/a16z/halmos/pull/551,Copilot,22.0,11.0,1.0,33.0
3136594828,7222,https://github.com/microsoft/Qcodes/pull/7222,Copilot,58.0,2.0,3.0,60.0
3210633319,252,https://github.com/microsoft/magentic-ui/pull/252,Copilot,16.0,2.0,1.0,18.0
3081388781,70,https://github.com/microsoft/magentic-ui/pull/70,Copilot,5.0,5.0,1.0,10.0
3163588483,4599,https://github.com/microsoft/AzureTRE/pull/4599,Copilot,9.0,7.0,2.0,16.0
3219667345,1928,https://github.com/docling-project/docling/pull/1928,Copilot,48.0,1.0,3.0,49.0
3241451851,64,https://github.com/quantalogic/quantalogic/pull/64,Copilot,363.0,6.0,2.0,369.0
3241527624,11601,https://github.com/gradio-app/gradio/pull/11601,Copilot,82.0,2.0,4.0,84.0
3151516898,1187,https://github.com/nearai/nearai/pull/1187,Copilot,16.0,6.0,3.0,22.0
3177184154,1323,https://github.com/TorchIO-project/torchio/pull/1323,Copilot,1.0,1.0,1.0,2.0
3199905484,6747,https://github.com/microsoft/autogen/pull/6747,Copilot,122.0,4.0,2.0,126.0
3199964804,394,https://github.com/microsoft/fabric-cicd/pull/394,Copilot,251.0,0.0,2.0,251.0
3192012013,643,https://github.com/zfit/zfit/pull/643,Copilot,9.0,1.0,3.0,10.0
3246433023,622,https://github.com/jeroenterheerdt/HAsmartirrigation/pull/622,Copilot,276.0,274.0,2.0,550.0
3222565138,6797,https://github.com/microsoft/autogen/pull/6797,Copilot,70.0,1.0,2.0,71.0
3222599276,6799,https://github.com/microsoft/autogen/pull/6799,Copilot,127.0,4.0,3.0,131.0
3184777083,10,https://github.com/fabriziosalmi/certmate/pull/10,Copilot,60.0,92.0,3.0,152.0
3204337980,84,https://github.com/InamuraJIN/ActionRecorder/pull/84,Copilot,39.0,0.0,3.0,39.0
3178309782,4604,https://github.com/microsoft/AzureTRE/pull/4604,Copilot,8.0,1.0,1.0,9.0
3135522528,16196,https://github.com/mlflow/mlflow/pull/16196,Copilot,4.0,2.0,1.0,6.0
3268724297,16915,https://github.com/mlflow/mlflow/pull/16915,Copilot,2.0,2.0,1.0,4.0
3261572196,16878,https://github.com/mlflow/mlflow/pull/16878,Copilot,39.0,12.0,8.0,51.0
3196295632,386,https://github.com/microsoft/fabric-cicd/pull/386,Copilot,10.0,27.0,6.0,37.0
3205453833,3045,https://github.com/DeepLabCut/DeepLabCut/pull/3045,Copilot,3.0,3.0,1.0,6.0
3205514535,3047,https://github.com/DeepLabCut/DeepLabCut/pull/3047,Copilot,176.0,10.0,2.0,186.0
3141230489,4591,https://github.com/microsoft/AzureTRE/pull/4591,Copilot,200.0,1.0,5.0,201.0
3092813223,975,https://github.com/frenck/spook/pull/975,Copilot,82.0,7.0,2.0,89.0
3138256165,539,https://github.com/a16z/halmos/pull/539,Copilot,102.0,58.0,4.0,160.0
3213367725,41942,https://github.com/Azure/azure-sdk-for-python/pull/41942,Copilot,167.0,22.0,2.0,189.0
3225614089,33,https://github.com/bmander/graphserver/pull/33,Copilot,27.0,3.0,2.0,30.0
3225666313,587,https://github.com/jeroenterheerdt/HAsmartirrigation/pull/587,Copilot,59.0,51.0,3.0,110.0
3232636358,42024,https://github.com/Azure/azure-sdk-for-python/pull/42024,Copilot,2.0,1.0,2.0,3.0
3191994915,95,https://github.com/strnad/CrewAI-Studio/pull/95,OpenAI_Codex,1.0,1.0,1.0,2.0
3086671266,30,https://github.com/dropseed/plain/pull/30,OpenAI_Codex,1.0,1.0,1.0,2.0
3115829932,2363,https://github.com/commaai/opendbc/pull/2363,OpenAI_Codex,1.0,1.0,1.0,2.0
3127479651,388,https://github.com/WorkflowAI/WorkflowAI/pull/388,OpenAI_Codex,1.0,1.0,1.0,2.0
3266423178,3812,https://github.com/MontrealAI/AGI-Alpha-Agent-v0/pull/3812,OpenAI_Codex,3.0,0.0,1.0,3.0
3245747016,3579,https://github.com/MontrealAI/AGI-Alpha-Agent-v0/pull/3579,OpenAI_Codex,5.0,1.0,1.0,6.0
3245752274,3580,https://github.com/MontrealAI/AGI-Alpha-Agent-v0/pull/3580,OpenAI_Codex,3.0,3.0,2.0,6.0
3203904490,2966,https://github.com/MontrealAI/AGI-Alpha-Agent-v0/pull/2966,OpenAI_Codex,12.0,12.0,4.0,24.0
3203867434,2965,https://github.com/MontrealAI/AGI-Alpha-Agent-v0/pull/2965,OpenAI_Codex,1.0,1.0,1.0,2.0
3115867945,2364,https://github.com/commaai/opendbc/pull/2364,OpenAI_Codex,1.0,1.0,1.0,2.0
3086890905,38,https://github.com/dropseed/plain/pull/38,OpenAI_Codex,0.0,9.0,1.0,9.0
3146871308,2179,https://github.com/MontrealAI/AGI-Alpha-Agent-v0/pull/2179,OpenAI_Codex,49.0,7.0,2.0,56.0
3093826815,101,https://github.com/DannyMac180/meta-agent/pull/101,OpenAI_Codex,97.0,11.0,5.0,108.0
3240119398,3476,https://github.com/MontrealAI/AGI-Alpha-Agent-v0/pull/3476,OpenAI_Codex,2.0,0.0,1.0,2.0
3071167799,209,https://github.com/MontrealAI/AGI-Alpha-Agent-v0/pull/209,OpenAI_Codex,49.0,17.0,3.0,66.0
3071216855,217,https://github.com/MontrealAI/AGI-Alpha-Agent-v0/pull/217,OpenAI_Codex,4.0,3.0,1.0,7.0
3071291586,230,https://github.com/MontrealAI/AGI-Alpha-Agent-v0/pull/230,OpenAI_Codex,3.0,10.0,4.0,13.0
3071294589,234,https://github.com/MontrealAI/AGI-Alpha-Agent-v0/pull/234,OpenAI_Codex,1.0,1.0,1.0,2.0
3071301261,236,https://github.com/MontrealAI/AGI-Alpha-Agent-v0/pull/236,OpenAI_Codex,19.0,1.0,1.0,20.0
3071302201,238,https://github.com/MontrealAI/AGI-Alpha-Agent-v0/pull/238,OpenAI_Codex,39.0,3.0,8.0,42.0
3071305459,241,https://github.com/MontrealAI/AGI-Alpha-Agent-v0/pull/241,OpenAI_Codex,12.0,0.0,2.0,12.0
3071314308,244,https://github.com/MontrealAI/AGI-Alpha-Agent-v0/pull/244,OpenAI_Codex,3.0,3.0,3.0,6.0
3071316829,247,https://github.com/MontrealAI/AGI-Alpha-Agent-v0/pull/247,OpenAI_Codex,2.0,1.0,1.0,3.0
3071332970,252,https://github.com/MontrealAI/AGI-Alpha-Agent-v0/pull/252,OpenAI_Codex,35.0,17.0,1.0,52.0
3095799599,1035,https://github.com/MontrealAI/AGI-Alpha-Agent-v0/pull/1035,OpenAI_Codex,54.0,0.0,2.0,54.0
3206967394,3046,https://github.com/MontrealAI/AGI-Alpha-Agent-v0/pull/3046,OpenAI_Codex,2.0,6.0,2.0,8.0
3206945278,3045,https://github.com/MontrealAI/AGI-Alpha-Agent-v0/pull/3045,OpenAI_Codex,8.0,28.0,3.0,36.0
3206910485,3044,https://github.com/MontrealAI/AGI-Alpha-Agent-v0/pull/3044,OpenAI_Codex,1.0,4.0,1.0,5.0
3140927785,52,https://github.com/featureform/enrichmcp/pull/52,OpenAI_Codex,8.0,1.0,4.0,9.0
3140900293,50,https://github.com/featureform/enrichmcp/pull/50,OpenAI_Codex,8.0,0.0,1.0,8.0
3140877316,49,https://github.com/featureform/enrichmcp/pull/49,OpenAI_Codex,39.0,14.0,6.0,53.0
3140847502,48,https://github.com/featureform/enrichmcp/pull/48,OpenAI_Codex,16.0,443.0,4.0,459.0
3070186377,9,https://github.com/MontrealAI/AGI-Alpha-Agent-v0/pull/9,OpenAI_Codex,47.0,36.0,6.0,83.0
3123432644,1658,https://github.com/MontrealAI/AGI-Alpha-Agent-v0/pull/1658,OpenAI_Codex,7.0,7.0,3.0,14.0
3123470370,1662,https://github.com/MontrealAI/AGI-Alpha-Agent-v0/pull/1662,OpenAI_Codex,58.0,8.0,3.0,66.0
3233358056,3389,https://github.com/MontrealAI/AGI-Alpha-Agent-v0/pull/3389,OpenAI_Codex,8.0,13.0,1.0,21.0
3233325684,3388,https://github.com/MontrealAI/AGI-Alpha-Agent-v0/pull/3388,OpenAI_Codex,6.0,1.0,1.0,7.0
3128554349,1889,https://github.com/MontrealAI/AGI-Alpha-Agent-v0/pull/1889,OpenAI_Codex,7.0,3.0,4.0,10.0
3217283543,3161,https://github.com/MontrealAI/AGI-Alpha-Agent-v0/pull/3161,OpenAI_Codex,18.0,2.0,1.0,20.0
3177001461,345,https://github.com/PriorLabs/TabPFN/pull/345,OpenAI_Codex,2.0,2.0,1.0,4.0
3176989811,344,https://github.com/PriorLabs/TabPFN/pull/344,OpenAI_Codex,1.0,1.0,1.0,2.0
3081790795,39,https://github.com/DannyMac180/meta-agent/pull/39,OpenAI_Codex,36.0,8.0,2.0,44.0
3081802914,40,https://github.com/DannyMac180/meta-agent/pull/40,OpenAI_Codex,5.0,8.0,2.0,13.0
3081852390,41,https://github.com/DannyMac180/meta-agent/pull/41,OpenAI_Codex,7.0,9.0,2.0,16.0
3244562202,3531,https://github.com/MontrealAI/AGI-Alpha-Agent-v0/pull/3531,OpenAI_Codex,2.0,2.0,1.0,4.0
