Owner/Repo,PR Number,Agent,html_url,Issue Type,Severity,Message,File Name,StartLine,EndLine,Rule
PrefectHQ/prefect,18363,Claude_Code,https://github.com/PrefectHQ/prefect/pull/18363,SECURITY_HOTSPOT,LOW,Make sure publicly writable directories are used safely here.,PR_prefect_18363:src/integrations/prefect-dbt/tests/core/test_settings.py,273,273,others
PrefectHQ/prefect,18363,Claude_Code,https://github.com/PrefectHQ/prefect/pull/18363,SECURITY_HOTSPOT,LOW,Make sure publicly writable directories are used safely here.,PR_prefect_18363:src/integrations/prefect-dbt/tests/core/test_settings.py,273,273,others
PrefectHQ/prefect,18363,Claude_Code,https://github.com/PrefectHQ/prefect/pull/18363,SECURITY_HOTSPOT,LOW,Make sure publicly writable directories are used safely here.,PR_prefect_18363:src/integrations/prefect-dbt/tests/core/test_settings.py,273,273,others
PrefectHQ/prefect,18363,Claude_Code,https://github.com/PrefectHQ/prefect/pull/18363,SECURITY_HOTSPOT,LOW,Make sure publicly writable directories are used safely here.,PR_prefect_18363:src/integrations/prefect-dbt/tests/core/test_settings.py,273,273,others
PrefectHQ/prefect,18363,Claude_Code,https://github.com/PrefectHQ/prefect/pull/18363,SECURITY_HOTSPOT,LOW,Make sure publicly writable directories are used safely here.,PR_prefect_18363:src/integrations/prefect-dbt/tests/core/test_settings.py,273,273,others
PrefectHQ/prefect,18363,Claude_Code,https://github.com/PrefectHQ/prefect/pull/18363,SECURITY_HOTSPOT,LOW,Make sure publicly writable directories are used safely here.,PR_prefect_18363:src/integrations/prefect-dbt/tests/core/test_settings.py,273,273,others
Ljzd-PRO/KToolBox,278,Copilot,https://github.com/Ljzd-PRO/KToolBox/pull/278,SECURITY_HOTSPOT,LOW,Using http protocol is insecure. Use https instead,PR_KToolBox_278:ktoolbox/action/job.py,121,121,encrypt-data
Ljzd-PRO/KToolBox,278,Copilot,https://github.com/Ljzd-PRO/KToolBox/pull/278,SECURITY_HOTSPOT,LOW,Using http protocol is insecure. Use https instead,PR_KToolBox_278:ktoolbox/action/job.py,121,121,encrypt-data
gradio-app/gradio,11601,Copilot,https://github.com/gradio-app/gradio/pull/11601,SECURITY_HOTSPOT,LOW,Using http protocol is insecure. Use https instead,PR_gradio_11601:test/test_external_utils.py,122,122,encrypt-data
gradio-app/gradio,11601,Copilot,https://github.com/gradio-app/gradio/pull/11601,SECURITY_HOTSPOT,LOW,Using http protocol is insecure. Use https instead,PR_gradio_11601:test/test_external_utils.py,144,144,encrypt-data
gradio-app/gradio,11601,Copilot,https://github.com/gradio-app/gradio/pull/11601,SECURITY_HOTSPOT,LOW,Using http protocol is insecure. Use https instead,PR_gradio_11601:test/test_external_utils.py,122,122,encrypt-data
gradio-app/gradio,11601,Copilot,https://github.com/gradio-app/gradio/pull/11601,SECURITY_HOTSPOT,LOW,Using http protocol is insecure. Use https instead,PR_gradio_11601:test/test_external_utils.py,144,144,encrypt-data
gradio-app/gradio,11601,Copilot,https://github.com/gradio-app/gradio/pull/11601,SECURITY_HOTSPOT,LOW,Using http protocol is insecure. Use https instead,PR_gradio_11601:test/test_external_utils.py,122,122,encrypt-data
gradio-app/gradio,11601,Copilot,https://github.com/gradio-app/gradio/pull/11601,SECURITY_HOTSPOT,LOW,Using http protocol is insecure. Use https instead,PR_gradio_11601:test/test_external_utils.py,144,144,encrypt-data
